,index,date,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW,load_MW
hour_start,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,2017-03-01,,,,,,,,,245551.0,236977.0,232473.0,232504.0,240108.0,263067.0,293437.0,306178.0,295889.0,280649.0,273271.0,268059.0,261919.0,261624.0,265241.0,270858.0
1,1,2017-03-02,279636.0,301746.0,332714.0,331299.0,321630.0,302962.0,277754.0,255865.0,240953.0,232671.0,227975.0,227694.0,235403.0,256614.0,288339.0,301295.0,290797.0,278286.0,272197.0,265926.0,262057.0,265957.0,268958.0,273511.0
2,2,2017-03-03,283604.0,303156.0,328825.0,326398.0,316544.0,297525.0,273389.0,251954.0,237383.0,228266.0,223774.0,223416.0,230603.0,251054.0,279456.0,292684.0,288856.0,274395.0,268494.0,266211.0,265388.0,269751.0,273308.0,275928.0
3,3,2017-03-04,283776.0,298715.0,321699.0,320283.0,306709.0,291963.0,271767.0,249715.0,233932.0,224489.0,218613.0,215993.0,217548.0,225877.0,235887.0,241710.0,249155.0,243635.0,238990.0,236927.0,232289.0,234164.0,239275.0,246712.0
4,4,2017-03-05,255330.0,274190.0,302472.0,298603.0,289130.0,276889.0,260140.0,242264.0,228324.0,219112.0,212404.0,209754.0,211079.0,216567.0,221966.0,170703.0,236917.0,237430.0,234368.0,234805.0,235042.0,230621.0,233554.0,240525.0
5,5,2017-03-06,251511.0,274431.0,309089.0,312795.0,304632.0,289249.0,268174.0,248071.0,234880.0,227757.0,224621.0,225918.0,235138.0,257316.0,287422.0,301635.0,291882.0,283228.0,276814.0,271577.0,265060.0,264310.0,265067.0,267806.0
6,6,2017-03-07,280505.0,300321.0,335036.0,337536.0,328517.0,309241.0,281974.0,259436.0,244911.0,237161.0,232748.0,232580.0,240597.0,262690.0,291128.0,302198.0,291356.0,279387.0,275727.0,270999.0,269046.0,270915.0,272657.0,276606.0
7,7,2017-03-08,283665.0,301893.0,331313.0,331614.0,321425.0,301727.0,140902.0,,,192185.0,225911.0,226622.0,232920.0,254525.0,283082.0,293343.0,285420.0,275434.0,272503.0,270459.0,270443.0,273937.0,276964.0,259462.0
8,8,2017-03-09,290905.0,307153.0,333051.0,275287.0,319382.0,299417.0,273403.0,251705.0,236081.0,226724.0,221758.0,221398.0,227454.0,246952.0,273614.0,286066.0,283243.0,274618.0,274768.0,277616.0,280717.0,286331.0,290618.0,295801.0
