,INTERVAL_START_PT,INTERVAL_END_PT,date_hour_start,OPR_DT_PT,OPR_HR_PT,day_week,OPR_INTERVAL,$_MWH_np15,$_MWH_sp15,$_MWH_zp26,other,solar,wind,total_mw,net_exp_MW,load_MW,HH_$_million_BTU_not_seasonal_adj
0,2019-02-01 01:00:00,2019-02-01 02:00:00,2019-02-01 01:00:00,2019-02-01 00:00:00,1,4,0,36.62123,36.04269,36.05743,19179.16,71.63,531.7,19782.49,-113560.63,318054.0,2.7
1,2019-02-01 02:00:00,2019-02-01 03:00:00,2019-02-01 02:00:00,2019-02-01 00:00:00,2,4,0,35.84812,35.153890000000004,35.19706,19252.28,0.27,513.5,19766.05,-111822.96,328601.0,2.7
2,2019-02-01 03:00:00,2019-02-01 04:00:00,2019-02-01 03:00:00,2019-02-01 00:00:00,3,4,0,35.60431,34.87623,34.92977,18500.98,0.0,456.11,18957.09,-111927.13,322692.0,2.7
3,2019-02-01 04:00:00,2019-02-01 05:00:00,2019-02-01 04:00:00,2019-02-01 00:00:00,4,4,0,35.4024,34.69286,34.73189,17693.16,0.0,379.62,18072.78,-112259.16999999998,313214.0,2.7
4,2019-02-01 05:00:00,2019-02-01 06:00:00,2019-02-01 05:00:00,2019-02-01 00:00:00,5,4,0,36.62816,36.03518,36.04623,16903.02,0.0,365.96,17268.98,-105529.78999999998,297274.0,2.7
5,2019-02-01 06:00:00,2019-02-01 07:00:00,2019-02-01 06:00:00,2019-02-01 00:00:00,6,4,0,42.66307000000001,42.53757,42.32983,16003.96,0.01,386.1,16390.07,-81263.49,274602.0,2.7
6,2019-02-01 07:00:00,2019-02-01 08:00:00,2019-02-01 07:00:00,2019-02-01 00:00:00,7,4,0,49.38471,49.40988,49.15312,14592.71,0.0,407.26,14999.97,-75079.04000000002,254851.0,2.7
7,2019-02-01 08:00:00,2019-02-01 09:00:00,2019-02-01 08:00:00,2019-02-01 00:00:00,8,4,0,47.22895,46.39359,46.36495,13918.42,0.0,417.0,14335.42,-72921.51,240036.0,2.7
8,2019-02-01 09:00:00,2019-02-01 10:00:00,2019-02-01 09:00:00,2019-02-01 00:00:00,9,4,0,36.90737,35.80693,35.81805,13483.27,0.0,367.17,13850.44,-69956.06999999998,230960.0,2.7
9,2019-02-01 10:00:00,2019-02-01 11:00:00,2019-02-01 10:00:00,2019-02-01 00:00:00,10,4,0,36.36025,34.62382,34.83681,13146.65,0.0,327.37,13474.02,-66876.65,225621.0,2.7
10,2019-02-01 11:00:00,2019-02-01 12:00:00,2019-02-01 11:00:00,2019-02-01 00:00:00,11,4,0,33.79055,31.95952,32.21012,13184.33,0.0,276.2,13460.53,-66556.68,224148.0,2.7
11,2019-02-01 12:00:00,2019-02-01 13:00:00,2019-02-01 12:00:00,2019-02-01 00:00:00,12,4,0,29.42322,27.83042,28.03097,14040.28,0.0,258.99,14299.27,-70900.34,231163.0,2.7
12,2019-02-01 13:00:00,2019-02-01 14:00:00,2019-02-01 13:00:00,2019-02-01 00:00:00,13,4,0,29.60504,27.88246,28.09851,15616.05,0.27,276.72,15893.04,-75913.95000000001,249571.0,2.7
13,2019-02-01 14:00:00,2019-02-01 15:00:00,2019-02-01 14:00:00,2019-02-01 00:00:00,14,4,0,34.66121,32.81818,33.1402,16299.249999999998,25.51,269.5,16594.26,-94490.4,278498.0,2.7
14,2019-02-01 15:00:00,2019-02-01 16:00:00,2019-02-01 15:00:00,2019-02-01 00:00:00,15,4,0,35.6361,34.317820000000005,34.46706,16124.2,1138.7400000000002,237.4,17500.340000000004,-97221.83,292818.0,2.7
15,2019-02-01 16:00:00,2019-02-01 17:00:00,2019-02-01 16:00:00,2019-02-01 00:00:00,16,4,0,40.15319,39.28689,39.33142,14665.15,3589.58,221.92,18476.65,-82129.47,288765.0,2.7
16,2019-02-01 17:00:00,2019-02-01 18:00:00,2019-02-01 17:00:00,2019-02-01 00:00:00,17,4,0,47.00713,47.08408,46.75707,13642.47,5561.85,224.29,19428.61,-77274.56999999999,283082.0,2.7
17,2019-02-01 18:00:00,2019-02-01 19:00:00,2019-02-01 18:00:00,2019-02-01 00:00:00,18,4,0,52.66154,53.37252,52.7538,12800.29,6436.54,239.37,19476.2,-72438.52000000003,280916.0,2.7
18,2019-02-01 19:00:00,2019-02-01 20:00:00,2019-02-01 19:00:00,2019-02-01 00:00:00,19,4,0,56.12375,56.89336,56.26841999999999,11873.65,6618.24,247.98,18739.87,-65522.94,279286.0,2.7
19,2019-02-01 20:00:00,2019-02-01 21:00:00,2019-02-01 20:00:00,2019-02-01 00:00:00,20,4,0,49.3968,50.08852,49.54939,11888.9,6254.6500000000015,273.65,18417.200000000004,-64556.14,277975.0,2.7
20,2019-02-01 21:00:00,2019-02-01 22:00:00,2019-02-01 21:00:00,2019-02-01 00:00:00,21,4,0,46.87962,47.31244,46.87,12485.61,5336.879999999999,316.64,18139.13,-68018.23,279297.0,2.7
21,2019-02-01 22:00:00,2019-02-01 23:00:00,2019-02-01 22:00:00,2019-02-01 00:00:00,22,4,0,44.35365,44.53511,44.22663,13475.42,4224.85,414.02,18114.29,-68227.73999999999,281005.0,2.7
22,2019-02-01 23:00:00,2019-02-02 00:00:00,2019-02-01 23:00:00,2019-02-01 00:00:00,23,4,0,40.3344,40.07265,39.96631,14989.7,2625.1799999999994,571.19,18186.07,-73140.31,287172.0,2.7
23,2019-02-02 00:00:00,2019-02-02 01:00:00,2019-02-02 00:00:00,2019-02-01 00:00:00,24,4,0,37.60565,37.21056,37.11559000000001,16469.78,804.3800000000001,775.5,18049.66,-84224.01000000001,300573.0,2.7
24,2019-02-02 01:00:00,2019-02-02 02:00:00,2019-02-02 01:00:00,2019-02-02 00:00:00,1,5,0,32.86858,32.72552,32.56581,17523.899999999998,33.99,1008.96,18566.85,-92214.64,319972.0,2.7
25,2019-02-02 02:00:00,2019-02-02 03:00:00,2019-02-02 02:00:00,2019-02-02 00:00:00,2,5,0,31.01787,30.886090000000006,30.77,17494.26,0.06,1269.71,18764.03,-93525.16,326235.0,2.7
26,2019-02-02 03:00:00,2019-02-02 04:00:00,2019-02-02 03:00:00,2019-02-02 00:00:00,3,5,0,30.65605,30.36561,30.313090000000006,16933.23,0.0,1489.63,18422.86,-87771.36000000003,314742.0,2.7
27,2019-02-02 04:00:00,2019-02-02 05:00:00,2019-02-02 04:00:00,2019-02-02 00:00:00,4,5,0,30.964340000000004,30.67087,30.6178,16424.98,0.0,1641.39,18066.37,-87496.09000000003,305233.0,2.7
