,OPR_DT_PT,OPR_HR_PT,OPR_INTERVAL,NODE_ID,GROUP,POS,$_MWH,INTERVAL_START_PT,INTERVAL_END_PT
0,2019-02-01,1,0,NP15SLAK_5_N001,1,1,36.62123,2019-02-01 01:00:00+00:00,2019-02-01 02:00:00+00:00
3,2019-02-01,2,0,NP15SLAK_5_N001,1,1,35.84812,2019-02-01 02:00:00+00:00,2019-02-01 03:00:00+00:00
6,2019-02-01,3,0,NP15SLAK_5_N001,1,1,35.60431,2019-02-01 03:00:00+00:00,2019-02-01 04:00:00+00:00
9,2019-02-01,4,0,NP15SLAK_5_N001,1,1,35.4024,2019-02-01 04:00:00+00:00,2019-02-01 05:00:00+00:00
12,2019-02-01,5,0,NP15SLAK_5_N001,1,1,36.62816,2019-02-01 05:00:00+00:00,2019-02-01 06:00:00+00:00
15,2019-02-01,6,0,NP15SLAK_5_N001,1,1,42.663070000000005,2019-02-01 06:00:00+00:00,2019-02-01 07:00:00+00:00
18,2019-02-01,7,0,NP15SLAK_5_N001,1,1,49.38471,2019-02-01 07:00:00+00:00,2019-02-01 08:00:00+00:00
21,2019-02-01,8,0,NP15SLAK_5_N001,1,1,47.22895,2019-02-01 08:00:00+00:00,2019-02-01 09:00:00+00:00
24,2019-02-01,9,0,NP15SLAK_5_N001,1,1,36.90737,2019-02-01 09:00:00+00:00,2019-02-01 10:00:00+00:00
27,2019-02-01,10,0,NP15SLAK_5_N001,1,1,36.36025,2019-02-01 10:00:00+00:00,2019-02-01 11:00:00+00:00
30,2019-02-01,11,0,NP15SLAK_5_N001,1,1,33.79055,2019-02-01 11:00:00+00:00,2019-02-01 12:00:00+00:00
33,2019-02-01,12,0,NP15SLAK_5_N001,1,1,29.42322,2019-02-01 12:00:00+00:00,2019-02-01 13:00:00+00:00
36,2019-02-01,13,0,NP15SLAK_5_N001,1,1,29.605040000000002,2019-02-01 13:00:00+00:00,2019-02-01 14:00:00+00:00
39,2019-02-01,14,0,NP15SLAK_5_N001,1,1,34.66121,2019-02-01 14:00:00+00:00,2019-02-01 15:00:00+00:00
42,2019-02-01,15,0,NP15SLAK_5_N001,1,1,35.6361,2019-02-01 15:00:00+00:00,2019-02-01 16:00:00+00:00
45,2019-02-01,16,0,NP15SLAK_5_N001,1,1,40.15319,2019-02-01 16:00:00+00:00,2019-02-01 17:00:00+00:00
48,2019-02-01,17,0,NP15SLAK_5_N001,1,1,47.00713,2019-02-01 17:00:00+00:00,2019-02-01 18:00:00+00:00
51,2019-02-01,18,0,NP15SLAK_5_N001,1,1,52.66154,2019-02-01 18:00:00+00:00,2019-02-01 19:00:00+00:00
54,2019-02-01,19,0,NP15SLAK_5_N001,1,1,56.12375,2019-02-01 19:00:00+00:00,2019-02-01 20:00:00+00:00
57,2019-02-01,20,0,NP15SLAK_5_N001,1,1,49.3968,2019-02-01 20:00:00+00:00,2019-02-01 21:00:00+00:00
60,2019-02-01,21,0,NP15SLAK_5_N001,1,1,46.87962,2019-02-01 21:00:00+00:00,2019-02-01 22:00:00+00:00
63,2019-02-01,22,0,NP15SLAK_5_N001,1,1,44.35365,2019-02-01 22:00:00+00:00,2019-02-01 23:00:00+00:00
66,2019-02-01,23,0,NP15SLAK_5_N001,1,1,40.3344,2019-02-01 23:00:00+00:00,2019-02-02 00:00:00+00:00
69,2019-02-01,24,0,NP15SLAK_5_N001,1,1,37.60565,2019-02-02 00:00:00+00:00,2019-02-02 01:00:00+00:00
72,2019-02-02,1,0,NP15SLAK_5_N001,13,1,32.86858,2019-02-02 01:00:00+00:00,2019-02-02 02:00:00+00:00
