,OPR_DT_PT,OPR_HR_PT,OPR_INTERVAL,NODE_ID,GROUP,POS,$_MWH,INTERVAL_START_PT,INTERVAL_END_PT
1,2019-02-01,1,0,SP26SLAK_5_N001,5,1,36.04269,2019-02-01 01:00:00+00:00,2019-02-01 02:00:00+00:00
4,2019-02-01,2,0,SP26SLAK_5_N001,5,1,35.153890000000004,2019-02-01 02:00:00+00:00,2019-02-01 03:00:00+00:00
7,2019-02-01,3,0,SP26SLAK_5_N001,5,1,34.87623,2019-02-01 03:00:00+00:00,2019-02-01 04:00:00+00:00
10,2019-02-01,4,0,SP26SLAK_5_N001,5,1,34.692859999999996,2019-02-01 04:00:00+00:00,2019-02-01 05:00:00+00:00
13,2019-02-01,5,0,SP26SLAK_5_N001,5,1,36.03518,2019-02-01 05:00:00+00:00,2019-02-01 06:00:00+00:00
16,2019-02-01,6,0,SP26SLAK_5_N001,5,1,42.53757,2019-02-01 06:00:00+00:00,2019-02-01 07:00:00+00:00
19,2019-02-01,7,0,SP26SLAK_5_N001,5,1,49.40988,2019-02-01 07:00:00+00:00,2019-02-01 08:00:00+00:00
22,2019-02-01,8,0,SP26SLAK_5_N001,5,1,46.39359,2019-02-01 08:00:00+00:00,2019-02-01 09:00:00+00:00
25,2019-02-01,9,0,SP26SLAK_5_N001,5,1,35.80693,2019-02-01 09:00:00+00:00,2019-02-01 10:00:00+00:00
28,2019-02-01,10,0,SP26SLAK_5_N001,5,1,34.62382,2019-02-01 10:00:00+00:00,2019-02-01 11:00:00+00:00
31,2019-02-01,11,0,SP26SLAK_5_N001,5,1,31.95952,2019-02-01 11:00:00+00:00,2019-02-01 12:00:00+00:00
34,2019-02-01,12,0,SP26SLAK_5_N001,5,1,27.83042,2019-02-01 12:00:00+00:00,2019-02-01 13:00:00+00:00
37,2019-02-01,13,0,SP26SLAK_5_N001,5,1,27.88246,2019-02-01 13:00:00+00:00,2019-02-01 14:00:00+00:00
40,2019-02-01,14,0,SP26SLAK_5_N001,5,1,32.81818,2019-02-01 14:00:00+00:00,2019-02-01 15:00:00+00:00
43,2019-02-01,15,0,SP26SLAK_5_N001,5,1,34.317820000000005,2019-02-01 15:00:00+00:00,2019-02-01 16:00:00+00:00
46,2019-02-01,16,0,SP26SLAK_5_N001,5,1,39.28689,2019-02-01 16:00:00+00:00,2019-02-01 17:00:00+00:00
49,2019-02-01,17,0,SP26SLAK_5_N001,5,1,47.08408,2019-02-01 17:00:00+00:00,2019-02-01 18:00:00+00:00
52,2019-02-01,18,0,SP26SLAK_5_N001,5,1,53.372519999999994,2019-02-01 18:00:00+00:00,2019-02-01 19:00:00+00:00
55,2019-02-01,19,0,SP26SLAK_5_N001,5,1,56.893359999999994,2019-02-01 19:00:00+00:00,2019-02-01 20:00:00+00:00
58,2019-02-01,20,0,SP26SLAK_5_N001,5,1,50.08852,2019-02-01 20:00:00+00:00,2019-02-01 21:00:00+00:00
61,2019-02-01,21,0,SP26SLAK_5_N001,5,1,47.31244,2019-02-01 21:00:00+00:00,2019-02-01 22:00:00+00:00
