,OPR_DT_PT,OPR_HR_PT,OPR_INTERVAL,NODE_ID,GROUP,POS,$_MWH,INTERVAL_START_PT,INTERVAL_END_PT
2,2019-02-01,1,0,ZP26SLAK_5_N001,9,1,36.05743,2019-02-01 01:00:00+00:00,2019-02-01 02:00:00+00:00
5,2019-02-01,2,0,ZP26SLAK_5_N001,9,1,35.19706,2019-02-01 02:00:00+00:00,2019-02-01 03:00:00+00:00
8,2019-02-01,3,0,ZP26SLAK_5_N001,9,1,34.92977,2019-02-01 03:00:00+00:00,2019-02-01 04:00:00+00:00
11,2019-02-01,4,0,ZP26SLAK_5_N001,9,1,34.73189,2019-02-01 04:00:00+00:00,2019-02-01 05:00:00+00:00
14,2019-02-01,5,0,ZP26SLAK_5_N001,9,1,36.04623,2019-02-01 05:00:00+00:00,2019-02-01 06:00:00+00:00
17,2019-02-01,6,0,ZP26SLAK_5_N001,9,1,42.32983,2019-02-01 06:00:00+00:00,2019-02-01 07:00:00+00:00
20,2019-02-01,7,0,ZP26SLAK_5_N001,9,1,49.15312,2019-02-01 07:00:00+00:00,2019-02-01 08:00:00+00:00
23,2019-02-01,8,0,ZP26SLAK_5_N001,9,1,46.36495,2019-02-01 08:00:00+00:00,2019-02-01 09:00:00+00:00
26,2019-02-01,9,0,ZP26SLAK_5_N001,9,1,35.81805,2019-02-01 09:00:00+00:00,2019-02-01 10:00:00+00:00
29,2019-02-01,10,0,ZP26SLAK_5_N001,9,1,34.83681,2019-02-01 10:00:00+00:00,2019-02-01 11:00:00+00:00
32,2019-02-01,11,0,ZP26SLAK_5_N001,9,1,32.21012,2019-02-01 11:00:00+00:00,2019-02-01 12:00:00+00:00
35,2019-02-01,12,0,ZP26SLAK_5_N001,9,1,28.03097,2019-02-01 12:00:00+00:00,2019-02-01 13:00:00+00:00
38,2019-02-01,13,0,ZP26SLAK_5_N001,9,1,28.098509999999997,2019-02-01 13:00:00+00:00,2019-02-01 14:00:00+00:00
41,2019-02-01,14,0,ZP26SLAK_5_N001,9,1,33.1402,2019-02-01 14:00:00+00:00,2019-02-01 15:00:00+00:00
44,2019-02-01,15,0,ZP26SLAK_5_N001,9,1,34.46706,2019-02-01 15:00:00+00:00,2019-02-01 16:00:00+00:00
47,2019-02-01,16,0,ZP26SLAK_5_N001,9,1,39.33142,2019-02-01 16:00:00+00:00,2019-02-01 17:00:00+00:00
50,2019-02-01,17,0,ZP26SLAK_5_N001,9,1,46.75707,2019-02-01 17:00:00+00:00,2019-02-01 18:00:00+00:00
53,2019-02-01,18,0,ZP26SLAK_5_N001,9,1,52.7538,2019-02-01 18:00:00+00:00,2019-02-01 19:00:00+00:00
56,2019-02-01,19,0,ZP26SLAK_5_N001,9,1,56.26841999999999,2019-02-01 19:00:00+00:00,2019-02-01 20:00:00+00:00
